timeStamp,IR1,IR2,ACTION
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,0,RIGHT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,0,1,LEFT
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
15/08/2022 04:17:36,1,1,FORWARD
